A2M	NM_000014.4
KCNJ11	NM_000525.3
KCNJ13	NM_002242.4
KCNJ15	NM_170736.2
KCNJ16	NM_018658.2
KCNJ2	NM_000891.2
KCNJ5	NM_000890.3
KCNJ6	NM_002240.3
KCNJ8	NM_004982.3
KCNJ9	NM_004983.2
KCNK17	NM_031460.3
KCNK18	NM_181840.1
KCNK3	NM_002246.2
KCNK5	NM_003740.3
KCNK9	NM_001282534.1
KCNMA1	NM_001161352.1
KCNMA1	NM_002247.3
KCNMB1	NM_004137.3
KCNMB3	NM_171830.1
KCNN3	NM_002249.5
KCNN4	NM_002250.2
KCNQ1	NM_000218.2
KCNQ2	NM_172107.2
KCNQ3	NM_004519.3
KCNQ4	NM_004700.3
KCNQ5	NM_001160133.1
KCNS1	NM_002251.3
KCNS2	NM_020697.2
KCNT1	NM_020822.2
KCNU1	NM_001031836.2
KCNV1	NM_014379.2
KCNV2	NM_133497.3
KCTD1	NM_001258221.1
KCTD19	NM_001100915.1
KCTD6	NM_001128214.1
KCTD7	NM_153033.4
KDELC2	NM_153705.4
KDM1A	NM_001009999.2
KDM2B	NM_032590.4
KDM3B	NM_016604.3
KDM4C	NM_015061.3
KDM5A	NM_001042603.2
KDM5B	NM_006618.3
KDM5C	NM_004187.3
KDM6A	NM_021140.3
KDM6B	NM_001080424.1
KDM7A	NM_030647.1
KDR	NM_002253.2
KEAP1	NM_203500.1
KEL	NM_000420.2
KERA	NM_007035.3
KHDC3L	NM_001017361.2
KHK	NM_000221.2
KIAA0100	NM_014680.3
KIAA0196	NM_014846.3
KIAA0226	NM_001145642.3
KIAA0232	NM_014743.2
KIAA0319	NM_014809.3
KIAA0430	NM_001184998.1
KIAA0556	NM_015202.2
KIAA0586	NM_001244189.1
KIAA0753	NM_014804.2
KIAA1033	NM_015275.2
KIAA1109	NM_015312.3
KIAA1210	NM_020721.1
KIAA1217	NM_019590.4
KIAA1244	NM_020340.4
KIAA1279	NM_015634.3
KIAA1377	NM_020802.3
KIAA1429	NM_015496.4
KIAA1432	NM_001135920.2
KIAA1462	NM_020848.2
KIAA1549	NM_001164665.1
KIAA1755	NM_001029864.1
KIAA1919	NM_153369.2
KIAA2018	NM_001009899.3
KIAA2022	NM_001008537.2
KIDINS220	NM_020738.2
KIF11	NM_004523.3
KIF13B	NM_015254.3
KIF14	NM_014875.2
KIF17	NM_020816.3
KIF18A	NM_031217.3
KIF19	NM_153209.3
KIF1A	NM_001244008.1
KIF1A	NM_004321.6
KIF1B	NM_015074.3
KIF1B	NM_183416.3
KIF1C	NM_006612.5
KIF21A	NM_017641.3
KIF21B	NM_017596.3
KIF22	NM_007317.2
KIF23	NM_138555.3
KIF24	NM_194313.2
KIF26B	NM_018012.3
KIF2A	NM_001098511.2
KIF2B	NM_032559.4
KIF4A	NM_012310.4
KIF5A	NM_004984.2
KIF5B	NM_004521.2
KIF5C	NM_004522.2
KIF6	NM_145027.4
KIF7	NM_198525.2
KIF9	NM_182902.3
KIR2DL1	NM_014218.2
KIR2DL3	NM_015868.2
KIR3DL1	NM_013289.2
KIR3DL2	NM_006737.3
KIR3DL3	NM_153443.4
KIRREL3	NM_032531.3
KISS1	NM_002256.3
KISS1R	NM_032551.4
KIT	NM_000222.2
KITLG	NM_000899.4
KL	NM_004795.3
KLB	NM_175737.3
KLC4	NM_201523.2
KLF1	NM_006563.3
KLF10	NM_005655.3
KLF11	NM_003597.4
KLF12	NM_007249.4
KLF4	NM_004235.4
KLF6	NM_001300.5
KLF7	NM_003709.3
KLHDC1	NM_172193.2
KLHL1	NM_020866.2
KLHL10	NM_152467.3
KLHL13	NM_033495.3
KLHL15	NM_030624.2
KLHL17	NM_198317.2
KLHL20	NM_014458.3
KLHL3	NM_017415.2
KLHL40	NM_152393.3
KLHL41	NM_006063.2
KLHL6	NM_130446.2
KLHL7	NM_001031710.2
KLHL9	NM_018847.2
KLK1	NM_002257.3
KLK12	NM_145894.1
KLK3	NM_001648.2
KLK4	NM_004917.4
KLKB1	NM_000892.3
KLLN	NM_001126049.1
KLRB1	NM_002258.2
KLRC1	NM_002259.4
KLRK1	NM_007360.3
KMO	NM_003679.4
KMT2A	NM_001197104.1
KMT2B	NM_014727.2
KMT2C	NM_170606.2
KMT2D	NM_003482.3
KMT2E	NM_182931.2
KNG1	NM_000893.3
KNG1	NM_001102416.2
KPNA7	NM_001145715.1
KPRP	NM_001025231.1
KPTN	NM_007059.3
KRAS	NM_004985.4
KRIT1	NM_194456.1
KRT1	NM_006121.3
KRT10	NM_000421.3
KRT12	NM_000223.3
KRT13	NM_002274.3
KRT14	NM_000526.4
KRT15	NM_002275.3
KRT16	NM_005557.3
KRT17	NM_000422.2
KRT18	NM_000224.2
KRT2	NM_000423.2
KRT20	NM_019010.2
KRT24	NM_019016.2
KRT25	NM_181534.3
KRT3	NM_057088.2
KRT31	NM_002277.2
KRT4	NM_002272.3
KRT5	NM_000424.3
KRT6A	NM_005554.3
KRT6B	NM_005555.3
KRT6C	NM_173086.4
KRT71	NM_033448.2
KRT74	NM_175053.3
KRT75	NM_004693.2
KRT8	NM_002273.3
KRT81	NM_002281.3
KRT82	NM_033033.3
KRT83	NM_002282.3
KRT85	NM_002283.3
KRT86	NM_002284.3
KRT9	NM_000226.3
KRTAP4-8	NM_031960.2
KRTAP9-3	NM_031962.2
KSR2	NM_173598.4
KXD1	NM_024069.3
KYNU	NM_003937.2
L1CAM	NM_000425.4
L2HGDH	NM_024884.2
L3MBTL1	NM_032107.4
LACC1	NM_001128303.1
LAMA1	NM_005559.3
LAMA2	NM_000426.3
LAMA3	NM_000227.4
LAMA3	NM_198129.2
LAMA4	NM_002290.4
LAMA5	NM_005560.4
LAMB1	NM_002291.2
LAMB2	NM_002292.3
LAMB3	NM_000228.2
LAMB4	NM_007356.2
LAMC1	NM_002293.3
LAMC2	NM_005562.2
LAMC3	NM_006059.3
LAMP2	NM_002294.2
LAMP2	NM_013995.2
LAPTM4B	NM_018407.4
LAPTM5	NM_006762.2
LARGE	NM_004737.4
LARP7	NM_016648.3
LARS	NM_020117.9
LARS2	NM_015340.3
LAS1L	NM_031206.4
LAT	NM_001014987.1
LATS1	NM_004690.3
LBP	NM_004139.4
LBR	NM_002296.3
LCA5	NM_181714.3
LCAT	NM_000229.1
LCE3B	NM_178433.1
LCE3D	NM_032563.1
LCK	NM_001042771.2
LCN10	NM_001001712.2
LCT	NM_002299.2
LDB3	NM_001080115.1
LDB3	NM_001080116.1
LDB3	NM_007078.2
LDHA	NM_005566.3
LDHB	NM_002300.6
LDLR	NM_000527.4
LDLRAD1	NM_001010978.3
LDLRAD4	NM_181481.4
LDLRAP1	NM_015627.2
LEFTY2	NM_003240.3
LEMD2	NM_181336.3
LEMD3	NM_014319.4
LENG1	NM_024316.2
LEP	NM_000230.2
LEPR	NM_002303.5
LEPRE1	NM_022356.3
LEPREL1	NM_018192.3
LFNG	NM_001040167.1
LGALS13	NM_013268.2
LGALS2	NM_006498.2
LGALS3	NM_002306.3
LGALS8	NM_006499.4
LGALS9B	NM_001042685.1
LGI1	NM_005097.2
LGR4	NM_018490.2
LHB	NM_000894.2
LHCGR	NM_000233.3
LHFP	NM_005780.2
LHFPL5	NM_182548.3
LHX1	NM_005568.4
LHX3	NM_014564.3
LHX4	NM_033343.3
LHX6	NM_014368.4
LHX8	NM_001001933.1
LIAS	NM_006859.3
LIF	NM_002309.4
LIFR	NM_002310.5
LIG1	NM_000234.2
LIG3	NM_013975.3
LIG4	NM_002312.3
LIM2	NM_030657.3
LIMD1	NM_014240.2
LIMK2	NM_001031801.1
LIMK2	NM_005569.3
LIMS2	NM_001136037.2
LIN28A	NM_024674.4
LIN28B	NM_001004317.3
LIN7B	NM_022165.2
LINS	NM_001040616.2
LIPA	NM_000235.3
LIPC	NM_000236.2
LIPE	NM_005357.3
LIPG	NM_006033.2
LIPH	NM_139248.2
LIPI	NM_198996.3
LIPK	NM_001080518.1
LIPN	NM_001102469.1
LIPT1	NM_145199.2
LITAF	NM_004862.3
LLGL1	NM_004140.3
LLGL2	NM_001031803.1
LMAN1	NM_005570.3
LMAN2L	NM_001142292.1
LMBR1	NM_022458.3
LMBRD1	NM_018368.3
LMF1	NM_022773.2
LMNA	NM_005572.3
LMNA	NM_170707.3
LMNB1	NM_005573.3
LMNB2	NM_032737.3
LMOD3	NM_198271.4
LMTK3	NM_001080434.1
LMX1B	NM_002316.3
LNPEP	NM_005575.2
LONP1	NM_004793.3
LOR	NM_000427.2
LOX	NM_002317.5
LOXHD1	NM_001145472.2
LOXHD1	NM_144612.6
LOXL1	NM_005576.2
LOXL2	NM_002318.2
LOXL3	NM_032603.3
LPA	NM_005577.2
LPAR3	NM_012152.2
LPAR6	NM_005767.5
LPHN2	NM_012302.3
LPIN1	NM_145693.2
LPIN2	NM_014646.2
LPIN3	NM_001301860.1
LPL	NM_000237.2
LRAT	NM_004744.4
LRBA	NM_006726.4
LRFN2	NM_020737.2
LRGUK	NM_144648.1
LRIG2	NM_014813.2
LRIT3	NM_198506.4
LRP1	NM_002332.2
LRP1B	NM_018557.2
LRP2	NM_004525.2
LRP4	NM_002334.3
LRP5	NM_002335.3
LRP6	NM_002336.2
LRP8	NM_004631.4
LRPAP1	NM_002337.3
LRPPRC	NM_133259.3
LRRC10	NM_201550.3
LRRC10B	NM_001145077.1
LRRC29	NM_012163.2
LRRC4	NM_022143.4
LRRC41	NM_006369.4
LRRC46	NM_033413.3
LRRC55	NM_001005210.2
LRRC6	NM_012472.4
LRRC69	NM_001129890.1
LRRC7	NM_020794.2
LRRFIP1	NM_004735.3
LRRK1	NM_024652.4
LRRK2	NM_198578.3
LRRTM4	NM_001134745.1
LRSAM1	NM_138361.5
LRTOMT	NM_001145308.4
LRTOMT	NM_001145310.3
LSM3	NM_014463.2
LSS	NM_001001438.2
LTA	NM_000595.3
LTBP1	NM_206943.2
LTBP2	NM_000428.2
LTBP3	NM_001130144.2
LTC4S	NM_145867.1
LTF	NM_002343.4
LTK	NM_002344.5
LUC7L	NM_201412.1
LUM	NM_002345.3
LUZP1	NM_033631.3
LUZP4	NM_016383.4
LY6G6F	NM_001003693.1
LY75-CD302	NM_001198759.1
LY96	NM_015364.4
LYN	NM_002350.3
LYPLAL1	NM_138794.4
LYRM4	NM_020408.5
LYRM7	NM_181705.3
LYST	NM_000081.3
LYZ	NM_000239.2
LZTFL1	NM_020347.3
LZTR1	NM_006767.3
LZTS1	NM_021020.3
MAATS1	NM_033364.3
MAB21L2	NM_006439.4
MACC1	NM_182762.3
MACF1	NM_012090.5
MAD1L1	NM_003550.2
MAD2L1	NM_002358.3
MADD	NM_003682.3
MAF	NM_005360.4
MAFB	NM_005461.4
MAG	NM_002361.3
MAGEA4	NM_001011548.1
MAGEC1	NM_005462.4
MAGEC3	NM_138702.1
MAGED2	NM_177433.2
MAGEE2	NM_138703.4
MAGEL2	NM_019066.4
MAGT1	NM_032121.5
MAK	NM_001242957.1
MALT1	NM_006785.3
MAMDC4	NM_206920.2
MAML2	NM_032427.3
MAMLD1	NM_005491.4
MAN1B1	NM_016219.4
MAN2B1	NM_000528.3
MANBA	NM_005908.3
MANF	NM_006010.5
MANSC1	NM_018050.2
MAOA	NM_000240.3
MAP1A	NM_002373.5
MAP2K1	NM_002755.3
MAP2K2	NM_030662.3
MAP2K7	NM_145185.3
MAP3K1	NM_005921.1
MAP3K15	NM_001001671.3
MAP3K6	NM_004672.4
MAP3K7	NM_145331.2
MAP3K8	NM_005204.3
MAP3K9	NM_033141.3
MAP4	NM_002375.4
MAP4K4	NM_145686.3
MAP7D3	NM_024597.3
MAPK8	NM_139049.2
MAPK8IP1	NM_005456.3
MAPKAP1	NM_001006617.1
MAPKAPK3	NM_001243926.1
MAPRE2	NM_014268.3
MAPT	NM_001123066.3
MAPT	NM_005910.5
MARC2	NM_017898.3
MARCH8	NM_001282866.1
MARK4	NM_001199867.1
MARS	NM_004990.3
MARS2	NM_138395.3
MARVELD2	NM_001038603.2
MASP1	NM_139125.3
MASP2	NM_006610.3
MAST1	NM_014975.2
MAST2	NM_015112.2
MASTL	NM_032844.3
MAT1A	NM_000429.2
MAT2A	NM_005911.5
MATN3	NM_002381.4
MATN4	NM_003833.4
MATR3	NM_001194956.1
MATR3	NM_199189.2
MAVS	NM_020746.4
MAX	NM_002382.4
MBD1	NM_015846.3
MBD3	NM_001281453.1
MBD4	NM_003925.2
MBD5	NM_018328.4
MBD6	NM_052897.3
MBL2	NM_000242.2
MBOAT4	NM_001100916.1
MBP	NM_001025101.1
MBTPS2	NM_015884.3
MC1R	NM_002386.3
MC2R	NM_000529.2
MC3R	NM_019888.3
MC4R	NM_005912.2
MCAT	NM_173467.4
MCCC1	NM_020166.4
MCCC2	NM_022132.4
MCEE	NM_032601.3
MCF2	NM_001171878.1
MCF2L	NM_001112732.2
MCF2L2	NM_015078.3
MCFD2	NM_139279.5
MCHR1	NM_005297.3
MCIDAS	NM_001190787.1
MCM10	NM_182751.2
MCM2	NM_004526.3
MCM3AP	NM_003906.4
MCM4	NM_005914.3
MCM5	NM_006739.3
MCM8	NM_032485.5
MCM9	NM_017696.2
MCOLN1	NM_020533.2
MCPH1	NM_024596.3
MCTP2	NM_018349.3
MDH2	NM_005918.3
MDM1	NM_017440.4
MDM2	NM_002392.5
MDM4	NM_002393.4
MDN1	NM_014611.2
MECOM	NM_001105078.3
MECP2	NM_001110792.1
MECP2	NM_004992.3
MED12	NM_005120.2
MED13L	NM_015335.4
MED17	NM_004268.4
MED20	NM_004275.3
MED23	NM_015979.3
MED25	NM_030973.3
MED29	NM_017592.1
MEF2A	NM_005587.2
MEF2C	NM_002397.4
MEFV	NM_000243.2
MEGF10	NM_032446.2
MEGF11	NM_032445.2
MEGF8	NM_001410.2
MEIS1	NM_002398.2
MEIS2	NM_170674.4
MEN1	NM_130799.2
MEOX1	NM_004527.3
MEP1A	NM_005588.2
MEP1B	NM_005925.2
MERTK	NM_006343.2
MESP1	NM_018670.3
MESP2	NM_001039958.1
MET	NM_001127500.1
METTL14	NM_020961.3
METTL22	NM_024109.2
METTL23	NM_001080510.4
METTL2B	NM_018396.2
MFAP5	NM_003480.3
MFF	NM_020194.5
MFGE8	NM_005928.2
MFI2	NM_005929.5
MFN2	NM_014874.3
MFRP	NM_031433.3
MFSD2A	NM_001136493.2
MFSD6L	NM_152599.3
MFSD8	NM_152778.2
MFSD9	NM_032718.3
MGA	NM_001164273.1
MGAT1	NM_001114618.1
MGAT2	NM_002408.3
MGEA5	NM_012215.3
MGLL	NM_007283.6
MGME1	NM_052865.2
MGMT	NM_002412.3
MGP	NM_000900.3
MGST2	NM_002413.4
MGST3	NM_004528.3
MIA	NM_006533.3
MIB1	NM_020774.3
MICA	NM_001177519.2
MICAL1	NM_001286613.1
MICAL3	NM_015241.2
MICALCL	NM_032867.2
MICB	NM_005931.4
MICU1	NM_006077.3
MID1	NM_000381.3
MID2	NM_012216.3
MIF	NM_002415.1
MIIP	NM_021933.3
MINPP1	NM_004897.4
MIOS	NM_019005.3
MIP	NM_012064.3
MIPEP	NM_005932.3
MIS18BP1	NM_018353.4
MITF	NM_000248.3
MITF	NM_006722.2
MKI67	NM_002417.4
MKKS	NM_018848.3
MKL1	NM_020831.4
MKL2	NM_014048.3
MKRN3	NM_005664.3
MKS1	NM_017777.3
MLC1	NM_015166.3
MLH1	NM_000249.3
MLH3	NM_001040108.1
MLLT1	NM_005934.3
MLLT10	NM_004641.3
MLLT6	NM_005937.3
MLPH	NM_024101.6
MLXIPL	NM_032951.2
MLYCD	NM_012213.2
MMAA	NM_172250.2
MMAB	NM_052845.3
MMACHC	NM_015506.2
MMADHC	NM_015702.2
MME	NM_007289.2
MMEL1	NM_033467.3
MMP1	NM_002421.3
MMP10	NM_002425.2
MMP13	NM_002427.3
MMP14	NM_004995.3
MMP19	NM_002429.5
MMP2	NM_004530.5
MMP20	NM_004771.3
MMP21	NM_147191.1
MMP3	NM_002422.3
MMP7	NM_002423.3
MMP8	NM_002424.2
MMP9	NM_004994.2
MMRN2	NM_024756.2
MN1	NM_002430.2
MNX1	NM_005515.3
MOB4	NM_015387.4
MOCOS	NM_017947.2
MOCS1	NM_001075098.3
MOCS1	NM_005943.5
MOCS2	NM_004531.4
MOCS2	NM_176806.3
MOG	NM_206809.3
MOGS	NM_006302.2
MORC2	NM_001303256.1
MOV10	NM_001130079.2
MPC1	NM_016098.3
MPDU1	NM_004870.3
MPDZ	NM_003829.4
MPEG1	NM_001039396.1
MPG	NM_002434.3
MPHOSPH8	NM_017520.3
MPI	NM_002435.2
MPL	NM_005373.2
MPLKIP	NM_138701.3
MPO	NM_000250.1
MPP3	NM_001932.4
MPP6	NM_016447.3
MPST	NM_021126.5
MPV17	NM_002437.4
MPZ	NM_000530.6
MR1	NM_001194999.1
MRAP	NM_178817.3
MRAP2	NM_138409.2
MRC1	NM_002438.3
MRC2	NM_006039.4
MRE11A	NM_005591.3
MRI1	NM_001031727.2
MRPL10	NM_145255.3
MRPL12	NM_002949.3
MRPL3	NM_007208.3
MRPL44	NM_022915.3
MRPS16	NM_016065.3
MRPS22	NM_020191.2
MRPS23	NM_016070.3
MRPS7	NM_015971.3
MRRF	NM_138777.3
MRVI1	NM_001098579.2
MS4A1	NM_152866.2
MS4A10	NM_206893.3
MS4A2	NM_000139.4
MS4A6A	NM_152851.2
MS4A6A	NM_152852.2
MS4A6E	NM_139249.2
MS4A7	NM_206939.1
MSC	NM_005098.3
MSH2	NM_000251.2
MSH3	NM_002439.4
MSH4	NM_002440.3
MSH5	NM_025259.5
MSH6	NM_000179.2
MSMO1	NM_006745.4
MSR1	NM_138715.2
MSRB3	NM_001031679.2
MSRB3	NM_198080.3
MST1	NM_020998.3
MST1R	NM_002447.2
MSTN	NM_005259.2
MSX1	NM_002448.3
MSX2	NM_002449.4
MT1A	NM_005946.2
MT1X	NM_005952.3
MTBP	NM_022045.4
MTCH2	NM_014342.3
MTF1	NM_005955.2
MTFMT	NM_139242.3
MTG2	NM_015666.3
MTHFD1	NM_005956.3
MTHFR	NM_005957.4
MTHFS	NM_006441.3
MTM1	NM_000252.2
MTMR12	NM_001040446.2
MTMR14	NM_022485.4
MTMR2	NM_016156.5
MTMR8	NM_017677.3
MTMR9	NM_015458.3
MTNR1A	NM_005958.3
MTNR1B	NM_005959.3
MTO1	NM_012123.3
MTOR	NM_004958.3
MTPAP	NM_018109.3
MTR	NM_000254.2
MTRR	NM_002454.2
MTSS1L	NM_138383.2
MTTP	NM_000253.3
MTX1	NM_002455.4
MUC17	NM_001040105.1
MUC4	NM_004532.5
MUC5B	NM_002458.2
MUC6	NM_005961.2
MURC	NM_001018116.2
MUSK	NM_005592.3
MUT	NM_000255.3
MUTYH	NM_001128425.1
MVD	NM_002461.2
MVK	NM_000431.3
MXRA5	NM_015419.3
MXRA8	NM_032348.3
MYADML2	NM_001145113.2
MYB	NM_001130173.1
MYBBP1A	NM_001105538.1
MYBL2	NM_002466.3
MYBPC1	NM_002465.3
MYBPC2	NM_004533.3
MYBPC3	NM_000256.3
MYBPHL	NM_001010985.2
MYC	NM_002467.4
MYCBP2	NM_015057.4
MYCN	NM_005378.5
MYCT1	NM_025107.2
MYD88	NM_002468.4
MYEF2	NM_016132.4
MYF6	NM_002469.2
MYH10	NM_001256012.1
MYH11	NM_002474.2
MYH11	NM_022844.2
MYH13	NM_003802.2
MYH14	NM_024729.3
MYH15	NM_014981.1
MYH2	NM_017534.5
MYH3	NM_002470.3
MYH6	NM_002471.3
MYH7	NM_000257.3
MYH7B	NM_020884.4
MYH8	NM_002472.2
MYH9	NM_002473.5
MYL2	NM_000432.3
MYL3	NM_000258.2
MYL4	NM_001002841.1
MYLIP	NM_013262.3
MYLK	NM_053025.3
MYLK2	NM_033118.3
MYLPF	NM_013292.3
MYO10	NM_012334.2
MYO15A	NM_016239.3
MYO16	NM_001198950.1
MYO18A	NM_078471.3
MYO18B	NM_032608.5
MYO1A	NM_005379.3
MYO1C	NM_033375.4
MYO1E	NM_004998.3
MYO1F	NM_012335.3
MYO3A	NM_017433.4
MYO3B	NM_138995.4
MYO5A	NM_000259.3
MYO5B	NM_001080467.2
MYO6	NM_004999.3
MYO7A	NM_000260.3
MYO7A	NM_001127179.2
MYO7A	NM_001127180.1
MYO7B	NM_001080527.1
MYO9A	NM_006901.3
MYO9B	NM_004145.3
MYOC	NM_000261.1
MYOCD	NM_001146312.2
MYOD1	NM_002478.4
MYOF	NM_013451.3
MYOM1	NM_003803.3
MYOM2	NM_003970.3
MYOT	NM_006790.2
MYOZ2	NM_016599.4
MYPN	NM_032578.3
MYSM1	NM_001085487.2
MYT1L	NM_015025.3
N4BP2L2	NM_033111.4
NAA10	NM_003491.3
NAA15	NM_057175.3
NAA35	NM_024635.3
NACC1	NM_052876.3
NADK2	NM_001085411.2
NAGA	NM_000262.2
NAGLU	NM_000263.3
NAGPA	NM_016256.3
NAGS	NM_153006.2
NALCN	NM_052867.2
NANOS1	NM_199461.2
NANOS3	NM_001098622.2
NANP	NM_152667.2
NANS	NM_018946.3
NAP1L2	NM_021963.3
NAPRT1	NM_145201.5
NAPSA	NM_004851.1
NARS2	NM_024678.5
NAT1	NM_000662.7
NAT10	NM_024662.2
NAT2	NM_000015.2
NAT8	NM_003960.3
NAT8L	NM_178557.3
NAV1	NM_020443.4
NAV2	NM_145117.4
NAXE	NM_144772.2
NBAS	NM_015909.3
NBEA	NM_015678.4
NBEAL2	NM_015175.2
NBN	NM_002485.4
NCAN	NM_004386.2
NCAPD2	NM_014865.3
NCAPD3	NM_015261.2
NCF1	NM_000265.5
NCF2	NM_000433.3
NCF4	NM_013416.3
NCKAP1	NM_205842.2
NCKIPSD	NM_016453.3
NCOA1	NM_003743.4
NCOA3	NM_181659.2
NCOA6	NM_014071.3
NCOR1	NM_006311.3
NCOR2	NM_006312.5
NCS1	NM_014286.3
NCSTN	NM_015331.2
NDE1	NM_001143979.1
NDOR1	NM_014434.3
NDP	NM_000266.3
NDRG1	NM_006096.3
NDRG4	NM_001130487.1
NDST1	NM_001543.4
NDUFA1	NM_004541.3
NDUFA10	NM_004544.3
NDUFA11	NM_175614.4
NDUFA12	NM_018838.4
NDUFA13	NM_015965.6
NDUFA2	NM_002488.4
NDUFA4	NM_002489.3
NDUFA6	NM_002490.3
NDUFA8	NM_014222.2
NDUFA9	NM_005002.4
NDUFAF1	NM_016013.3
NDUFAF2	NM_174889.4
NDUFAF3	NM_199069.1
NDUFAF4	NM_014165.3
NDUFAF5	NM_024120.4
NDUFAF6	NM_152416.3
NDUFAF7	NM_001083946.1
NDUFB1	NM_004545.3
NDUFB11	NM_019056.6
NDUFB3	NM_002491.2
NDUFB9	NM_005005.2
NDUFS1	NM_001199981.1
NDUFS1	NM_005006.6
NDUFS2	NM_004550.4
NDUFS3	NM_004551.2
NDUFS4	NM_002495.2
NDUFS5	NM_004552.2
NDUFS6	NM_004553.4
NDUFS7	NM_024407.4
NDUFS8	NM_002496.3
NDUFV1	NM_007103.3
NDUFV2	NM_021074.4
NDUFV3	NM_021075.3
NEB	NM_001271208.1
NEB	NM_004543.4
NEBL	NM_006393.2
NECAP1	NM_015509.3
NEDD4L	NM_015277.5
NEFH	NM_021076.3
NEFM	NM_005382.2
NEIL1	NM_024608.3
NEIL2	NM_145043.2
NEK1	NM_001199397.1
NEK1	NM_012224.2
NEK10	NM_199347.3
NEK11	NM_024800.4
NEK2	NM_002497.3
NEK8	NM_178170.2
NEK9	NM_033116.4
NELL1	NM_006157.4
NEO1	NM_002499.3
NEPRO	NM_015412.3
NEU1	NM_000434.3
NEU2	NM_005383.2
NEUROD1	NM_002500.4
NEUROG1	NM_006161.2
NEUROG3	NM_020999.3
NEXN	NM_144573.3
NF1	NM_000267.3
NF1	NM_001042492.2
NF2	NM_000268.3
NFASC	NM_015090.3
NFAT5	NM_138714.3
NFATC1	NM_006162.4
NFATC4	NM_004554.4
NFIA	NM_005595.4
NFIX	NM_001271043.2
NFKB1	NM_003998.3
NFKB2	NM_001077494.3
NFKBIA	NM_020529.2
NFKBIE	NM_004556.2
NFKBIL1	NM_005007.3
NFKBIZ	NM_031419.3
NFS1	NM_021100.4
NFU1	NM_001002755.2
NFXL1	NM_152995.5
NGF	NM_002506.2
NGFR	NM_002507.3
NGLY1	NM_018297.3
NHEJ1	NM_024782.2
NHLH2	NM_005599.3
NHLRC1	NM_198586.2
NHP2	NM_017838.3
NHS	NM_198270.3
NID1	NM_002508.2
NID2	NM_007361.3
NIN	NM_020921.3
NINJ1	NM_004148.3
NIPA1	NM_144599.4
NIPA2	NM_001184889.1
NIPAL3	NM_020448.4
NIPAL4	NM_001099287.1
NIPBL	NM_133433.3
NIPSNAP1	NM_003634.3
NIPSNAP3A	NM_015469.1
NISCH	NM_007184.3
NKAIN3	NM_001304533.1
NKX2-1	NM_001079668.2
NKX2-2	NM_002509.3
NKX2-5	NM_004387.3
NKX2-6	NM_001136271.2
NKX2-8	NM_014360.2
NKX3-1	NM_006167.3
NKX3-2	NM_001189.3
NLGN1	NM_014932.3
NLGN2	NM_020795.3
NLGN3	NM_018977.3
NLGN3	NM_181303.1
NLGN4X	NM_020742.3
NLGN4Y	NM_014893.4
NLRC4	NM_021209.4
NLRC5	NM_032206.4
NLRP1	NM_033004.3
NLRP10	NM_176821.3
NLRP12	NM_144687.3
NLRP14	NM_176822.3
NLRP2	NM_017852.3
NLRP3	NM_004895.4
NLRP5	NM_153447.4
NLRP7	NM_001127255.1
NLRP7	NM_139176.3
NLRP7	NM_206828.3
NLRX1	NM_024618.3
NMB	NM_205858.1
NME1	NM_000269.2
NME7	NM_013330.4
NME8	NM_016616.4
NMNAT1	NM_022787.3
NMU	NM_006681.3
NNT	NM_012343.3
NOBOX	NM_001080413.3
NOD1	NM_006092.2
NOD2	NM_022162.2
NODAL	NM_018055.4
NOG	NM_005450.4
NOL3	NM_001276312.1
NOM1	NM_138400.1
NONO	NM_001145408.1
NOP10	NM_018648.3
NOS1	NM_000620.4
NOS1AP	NM_014697.2
NOS2	NM_000625.4
NOS3	NM_000603.4
NOTCH1	NM_017617.3
NOTCH2	NM_024408.3
NOTCH3	NM_000435.2
NOTCH4	NM_004557.3
NOX1	NM_007052.4
NPAS2	NM_002518.3
NPAS3	NM_173159.2
NPAS4	NM_178864.3
NPAT	NM_002519.2
NPBWR1	NM_005285.3
NPC1	NM_000271.4
NPC1L1	NM_013389.2
NPC2	NM_006432.3
NPEPPS	NM_006310.3
NPFFR2	NM_004885.2
NPHP1	NM_000272.3
NPHP3	NM_153240.4
NPHP4	NM_015102.4
NPHS1	NM_004646.3
NPHS2	NM_014625.3
NPL	NM_030769.2
NPNT	NM_001184691.1
NPPA	NM_006172.3
NPR1	NM_000906.3
NPR2	NM_003995.3
NPR3	NM_000908.3
NPRL2	NM_006545.4
NPS	NM_001030013.1
NPSR1	NM_207173.1
NPW	NM_001099456.2
NPY	NM_000905.3
NPY2R	NM_000910.3
NQO1	NM_000903.2
NQO2	NM_000904.4
NR0B1	NM_000475.4
NR0B2	NM_021969.2
NR1D2	NM_005126.4
NR1H3	NM_005693.3
NR1H4	NM_005123.3
NR1I2	NM_003889.3
NR1I3	NM_005122.4
NR2E1	NM_003269.4
NR2F1	NM_005654.5
NR2F2	NM_021005.3
NR3C1	NM_001018077.1
NR3C2	NM_000901.4
NR4A2	NM_006186.3
NR5A1	NM_004959.4
NRAS	NM_002524.4
NRG1	NM_013956.3
NRG1	NM_013962.2
NRG3	NM_001010848.3
NRIP1	NM_003489.3
NRL	NM_006177.3
NRP1	NM_003873.5
NRP2	NM_201266.1
NRROS	NM_198565.2
NRTN	NM_004558.3
NRXN1	NM_001135659.1
NRXN1	NM_138735.2
NRXN2	NM_015080.3
